[12296] 15 May 20:14:36 * Server started, Redis version 2.4.6
[12296] 15 May 20:14:36 # Open data file dump.rdb: No such file or directory
[12296] 15 May 20:14:36 * The server is now ready to accept connections on port 6379
[12296] 15 May 20:14:37 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:14:42 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:14:47 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:14:52 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:14:57 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:02 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:07 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:12 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:17 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:22 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:27 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:32 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:37 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:42 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:47 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:53 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:15:58 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:03 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:08 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:13 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:18 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:23 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:28 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:33 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:38 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:43 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:48 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:53 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:16:58 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:03 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:08 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:13 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:18 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:23 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:28 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:33 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:38 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:43 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:48 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:53 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:17:58 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:18:03 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:18:08 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:18:13 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:18:18 - 0 clients connected (0 slaves), 1179984 bytes in use
[12296] 15 May 20:18:23 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:27 * Server started, Redis version 2.4.6
[3436] 15 May 20:20:27 # Open data file dump.rdb: No such file or directory
[3436] 15 May 20:20:27 * The server is now ready to accept connections on port 6379
[3436] 15 May 20:20:27 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:32 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:37 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:42 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:47 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:52 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:20:57 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:02 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:07 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:12 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:17 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:22 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:27 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:32 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:37 - 0 clients connected (0 slaves), 1179984 bytes in use
[3436] 15 May 20:21:42 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:03 * Server started, Redis version 2.4.6
[1288] 15 May 20:24:03 # Open data file dump.rdb: No such file or directory
[1288] 15 May 20:24:03 * The server is now ready to accept connections on port 6379
[1288] 15 May 20:24:03 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:08 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:13 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:18 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:23 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:28 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:33 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:38 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:43 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:49 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:54 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:24:59 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:04 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:09 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:14 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:19 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:24 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:29 - 0 clients connected (0 slaves), 1179984 bytes in use
[1288] 15 May 20:25:34 - 0 clients connected (0 slaves), 1179984 bytes in use
